"id_person";"id_movie";"rol"
"nm0000375";"tt6534532";"Actor"
"nm0000375";"tt2461172";"Actor"
"nm0000375";"tt4154796";"Actor"
"nm0000375";"tt2250912";"Actor"
"nm0000375";"tt3498820";"Actor"
"nm0000375";"tt1872194";"Actor"
"nm0000375";"tt1300854";"Actor"
"nm0000375";"tt1515091";"Actor"
"nm0000375";"tt1686782";"Actor"
"nm0000375";"tt0988045";"Actor"
"nm0000375";"tt1286750";"Actor"
"nm0000375";"tt0800080";"Actor"
"nm0000375";"tt0371746";"Actor"
"nm0000375";"tt0338216";"Actor"
"nm0000375";"tt0443706";"Actor"
"nm0000375";"tt0405296";"Actor"
"nm0000375";"tt0473488";"Actor"
"nm0000375";"tt0433383";"Actor"
"nm0000375";"tt0425055";"Actor"
"nm0000375";"tt0343663";"Actor"
"nm0000375";"tt0344554";"Actor"
"nm0000375";"tt0118254";"Actor"
"nm0000375";"tt6322486";"Actor"
"nm0000375";"tt0185014";"Actor"
"nm0000375";"tt0131325";"Actor"
"nm0000375";"tt0120710";"Actor"
"nm0000375";"tt0119196";"Actor"
"nm0000375";"tt0124179";"Actor"
"nm0000375";"tt0116016";"Actor"
"nm0000375";"tt0124013";"Actor"
"nm0000375";"tt0114279";"Actor"
"nm0000375";"tt0110632";"Actor"
"nm0000375";"tt0108122";"Actor"
"nm0000375";"tt0103939";"Actor"
"nm0000375";"tt0103100";"Actor"
"nm0000375";"tt0097044";"Actor"
"nm0000375";"tt0098464";"Actor"
"nm0000375";"tt0095978";"Actor"
"nm0000375";"tt0093407";"Actor"
"nm0000375";"tt0090629";"Actor"
"nm0000375";"tt0072562";"Actor"
"nm0000375";"tt0088579";"Actor"
"nm0000375";"tt0089208";"Actor"
"nm0000375";"tt0087263";"Actor"
"nm0000375";"tt0081695";"Actor"
"nm0000375";"tt0066234";"Actor"
"nm0000375";"tt2094116";"Actor"
"nm0000375";"tt6673612";"Actor"
"nm0000375";"tt4154756";"Actor"
"nm0000375";"tt7006122";"Actor"
"nm0000375";"tt2395427";"Actor"
"nm0000375";"tt2883512";"Actor"
"nm0000375";"tt0848228";"Actor"
"nm0000375";"tt1231583";"Actor"
"nm0000375";"tt1228705";"Actor"
"nm0000375";"tt0821642";"Actor"
"nm0000375";"tt0942385";"Actor"
"nm0000375";"tt1233205";"Actor"
"nm0000375";"tt0423977";"Actor"
"nm0000375";"tt3492560";"Actor"
"nm0000375";"tt0422295";"Actor"
"nm0000375";"tt0393735";"Actor"
"nm0000375";"tt0182576";"Actor"
"nm0000375";"tt0373469";"Actor"
"nm0000375";"tt3447362";"Actor"
"nm0000375";"tt0348836";"Actor"
"nm0000375";"tt0314676";"Actor"
"nm0000375";"tt0358565";"Actor"
"nm0000375";"tt0403851";"Actor"
"nm0000375";"tt0165643";"Actor"
