"id_user";"id_movie";"global";"rate"
"ur7108599";"tt4154756";8.5;10.0
"ur4849028";"tt4154756";8.5;10.0
b'ur1210420';"tt4154756";8.5;10.0
"ur5730393";"tt4154756";8.5;10.0
"ur7766152";"tt4154756";8.5;10.0
"ur5004201";"tt4154756";8.5;10.0
"ur8878081";"tt4154756";8.5;10.0
"ur8698769";"tt4154756";8.5;10.0
"ur5627071";"tt4154756";8.5;10.0
"ur3518490";"tt4154756";8.5;10.0
"ur7325313";"tt4154756";8.5;10.0
"ur6778625";"tt4154756";8.5;10.0
"ur8324652";"tt4154756";8.5;10.0
"ur3750610";"tt4154756";8.5;10.0
"ur6224962";"tt4154756";8.5;10.0
"ur3816536";"tt4154756";8.5;10.0
"ur5759072";"tt4154756";8.5;10.0
"ur2528106";"tt4154756";8.5;10.0
"ur1837428";"tt4154756";8.5;10.0
"ur6235993";"tt4154756";8.5;10.0
"ur6741756";"tt4154756";8.5;10.0
"ur6455786";"tt4154756";8.5;10.0
"ur7591175";"tt4154756";8.5;10.0
"ur8688018";"tt4154756";8.5;10.0
"ur6786965";"tt4154756";8.5;10.0
"ur4272387";"tt1825683";7.3;5.0
"ur8560423";"tt1825683";7.3;5.0
"ur4901756";"tt1825683";7.3;5.0
"ur8419531";"tt1825683";7.3;5.0
"ur5423231";"tt1825683";7.3;5.0
"ur2516211";"tt1825683";7.3;5.0
"ur7712644";"tt1825683";7.3;5.0
"ur6388886";"tt1825683";7.3;5.0
"ur1904322";"tt1825683";7.3;5.0
"ur5883383";"tt1825683";7.3;5.0
"ur1452049";"tt1825683";7.3;5.0
"ur6143549";"tt1825683";7.3;5.0
"ur3333657";"tt1825683";7.3;5.0
"ur8650921";"tt1825683";7.3;5.0
"ur2787215";"tt1825683";7.3;5.0
"ur2607561";"tt1825683";7.3;5.0
"ur6324132";"tt1825683";7.3;5.0
"ur3484263";"tt1825683";7.3;5.0
"ur3627370";"tt1825683";7.3;5.0
"ur8252420";"tt1825683";7.3;5.0
"ur2447988";"tt1825683";7.3;5.0
"ur5528485";"tt1825683";7.3;5.0
"ur2758288";"tt1825683";7.3;5.0
"ur6946055";"tt1825683";7.3;5.0
"ur7909680";"tt1825683";7.3;5.0
b'ur5759072';b'tt4154756';8.5;10
b'ur5759072';"tt5463162";7.8;9.0
"ur6655271";"tt5463162";7.8;9.0
"ur3218179";"tt5463162";7.8;9.0
b'ur8878081';b'tt4154756';8.5;10
b'ur8878081';"tt5463162";7.8;9.0
"ur6385739";"tt5463162";7.8;9.0
"ur5343905";"tt5463162";7.8;9.0
"ur6934375";"tt5463162";7.8;9.0
"ur1863213";"tt5463162";7.8;9.0
"ur5782731";"tt5463162";7.8;9.0
"ur7792427";"tt5463162";7.8;9.0
"ur2682412";"tt5463162";7.8;9.0
b'ur8398942';"tt5463162";7.8;9.0
"ur4417201";"tt5463162";7.8;9.0
"ur6730204";"tt5463162";7.8;9.0
"ur2162965";"tt5463162";7.8;9.0
"ur8845005";"tt5463162";7.8;9.0
"ur8929063";"tt5463162";7.8;9.0
"ur8835123";"tt5463162";7.8;9.0
"ur4360079";"tt5463162";7.8;9.0
"ur5139517";"tt5463162";7.8;9.0
"ur2782935";"tt5463162";7.8;9.0
"ur8845202";"tt5463162";7.8;9.0
"ur7943162";"tt5463162";7.8;9.0
"ur4323206";"tt5463162";7.8;9.0
"ur3483868";"tt5463162";7.8;9.0
"ur9445492";"tt1727824";8.1;10.0
"ur8868593";"tt1727824";8.1;10.0
"ur4154593";"tt1727824";8.1;10.0
"ur8149482";"tt1727824";8.1;10.0
"ur8451251";"tt1727824";8.1;10.0
"ur3607154";"tt1727824";8.1;10.0
"ur7681631";"tt1727824";8.1;10.0
"ur4700140";"tt1727824";8.1;10.0
"ur6758933";"tt1727824";8.1;10.0
"ur3564767";"tt1727824";8.1;10.0
"ur3034945";"tt1727824";8.1;10.0
"ur4031927";"tt1727824";8.1;10.0
"ur7779145";"tt1727824";8.1;10.0
"ur6848308";"tt1727824";8.1;10.0
"ur4080682";"tt1727824";8.1;10.0
"ur6928752";"tt1727824";8.1;10.0
"ur6702666";"tt1727824";8.1;10.0
"ur9442081";"tt1727824";8.1;10.0
"ur4892599";"tt1727824";8.1;10.0
b'ur6245894';"tt1727824";8.1;10.0
"ur4012715";"tt1727824";8.1;10.0
b'ur6833743';"tt1727824";8.1;10.0
"ur7499522";"tt1727824";8.1;10.0
"ur6397081";"tt1727824";8.1;10.0
"ur4679062";"tt1727824";8.1;10.0
b'ur5759072';b'tt4154756';8.5;10
b'ur5759072';b'tt5463162';7.8;9
b'ur5759072';"tt1677720";7.5;9.0
b'ur1025181';"tt1677720";7.5;9.0
"ur1100104";"tt1677720";7.5;9.0
"ur2810916";"tt1677720";7.5;9.0
"ur6124458";"tt1677720";7.5;9.0
"ur3915294";"tt1677720";7.5;9.0
"ur3359334";"tt1677720";7.5;9.0
"ur2682080";"tt1677720";7.5;9.0
"ur6076410";"tt1677720";7.5;9.0
"ur5511034";"tt1677720";7.5;9.0
"ur7704718";"tt1677720";7.5;9.0
"ur5789610";"tt1677720";7.5;9.0
"ur8690828";"tt1677720";7.5;9.0
"ur8687449";"tt1677720";7.5;9.0
"ur3961769";"tt1677720";7.5;9.0
"ur8301205";"tt1677720";7.5;9.0
"ur4920856";"tt1677720";7.5;9.0
"ur5068690";"tt1677720";7.5;9.0
